Date,Date Key,Day Name,Day Number,Day Short Name,Month Name,Month Number,Month Short Name,Month Year,Qtr Number,Qtr Year,Year
10/17/2013 0:00,41564,Thursday,5,Thu,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/19/2013 0:00,41566,Saturday,7,Sat,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
10/21/2013 0:00,41568,Monday,2,Mon,9-Jan-00,10,Oct,October 2013,4,"4, 2013",2013
1/1/2013 0:00,41275,Tuesday,3,Tue,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/2/2013 0:00,41276,Wednesday,4,Wed,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/4/2013 0:00,41278,Friday,6,Fri,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/8/2013 0:00,41282,Tuesday,3,Tue,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/16/2013 0:00,41290,Wednesday,4,Wed,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/29/2013 0:00,41303,Tuesday,3,Tue,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
1/30/2013 0:00,41304,Wednesday,4,Wed,0-Jan-00,1,Jan,January 2013,1,"1, 2013",2013
2/2/2013 0:00,41307,Saturday,7,Sat,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/4/2013 0:00,41309,Monday,2,Mon,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/12/2013 0:00,41317,Tuesday,3,Tue,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
2/16/2013 0:00,41321,Saturday,7,Sat,1-Jan-00,2,Feb,February 2013,1,"1, 2013",2013
3/13/2013 0:00,41346,Wednesday,4,Wed,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/14/2013 0:00,41347,Thursday,5,Thu,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/26/2013 0:00,41359,Tuesday,3,Tue,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/28/2013 0:00,41361,Thursday,5,Thu,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
3/30/2013 0:00,41363,Saturday,7,Sat,2-Jan-00,3,Mar,March 2013,1,"1, 2013",2013
4/26/2013 0:00,41390,Friday,6,Fri,3-Jan-00,4,Apr,April 2013,2,"2, 2013",2013
